Russian Federation	17098246.00	16377742.00	1610381	145872256	Asia
Canada 	9984670.00	9093507.00	1739110	37411047	North America
China 	9596961.00	9326410.00	14216503	1433783686	Asia
United States 	9525067.00	9147593.00	21344667	329064917	North America
Brazil 	8515767.00	8460415.00	1960190	211049527	South America
Australia 	7692024.00	7633565.00	1417003	25203198	Oceania
India 	3287263.00	2973190.00	2971996	1366417754	Asia
Argentina 	2780400.00	2736690.00	477743	44780677	South America
Kazakhstan 	2724900.00	2699700.00	164207	18551427	Asia
Algeria 	2381741.00	2381741.00	183687	43053054	Africa
Democratic Republic of the Congo 	2344858.00	2267048.00	48458	86790567	Africa
Saudi Arabia 	2149690.00	2149690.00	762259	34268528	Asia
Mexico 	1964375.00	1943945.00	1241450	127575529	North America
Indonesia 	1910931.00	1811569.00	1100911	270625568	Asia
Sudan 	1861484.00	1861484.00	31468	42813238	Africa
Libya 	1759540.00	1759540.00	44964	6777452	Africa
Iran 	1648195.00	1531595.00	484663	82913906	Asia
Mongolia 	1564110.00	1553556.00	13038	3225167	Asia
Peru 	1285216.00	1279996.00	232080	32510453	South America
Chad 	1284000.00	1259200.00	11372	15946876	Africa
Niger 	1267000.00	1266700.00	9724	23310715	Africa
Angola 	1246700.00	1246700.00	92191	31825295	Africa
Mali 	1240192.00	1220190.00	17833	19658031	Africa
South Africa 	1221037.00	1214470.00	371298	58558270	Africa
Colombia 	1141748.00	1038700.00	336599	50339443	South America
Ethiopia 	1104300.00	1000000.00	90968	112078730	Africa
Bolivia 	1098581.00	1083301.00	43687	11513100	South America
Mauritania 	1030700.00	1025520.00	5569	4525696	Africa
Egypt 	1002450.00	995450.00	299589	100388073	Africa
Tanzania 	945087.00	885800.00	61032	58005463	Africa
Nigeria 	923768.00	910768.00	444916	200963599	Africa
Venezuela 	916445.00	882050.00	76458	28515829	South America
Pakistan 	881912.00	881912.00	278019	216565318	Asia
Namibia 	825615.00	823290.00	13824	2494530	Africa
Mozambique 	801590.00	786380.00	15372	30366036	Africa
Turkey 	783562.00	769632.00	706237	83429615	Asia
Chile 	756102.00	743812.00	295614	18952038	South America
Zambia 	752612.00	743398.00	24615	16591390	Africa
Myanmar 	676578.00	653508.00	65665	54045420	Asia
Afghanistan 	652230.00	652230.00	19990	38041754	Asia
South Sudan 	644329.00	644329.00	3151	11062113	Africa
France 	640679.00	640427.00	2761633	65129728	Europe
Somalia 	637657.00	627337.00	7903	15442905	Africa
Central African Republic 	622984.00	622984.00	1997	4745185	Africa
Ukraine 	603500.00	579300.00	134887	43993638	Europe
Madagascar 	587041.00	581540.00	12734	26969307	Africa
Botswana 	581730.00	566730.00	19651	2303697	Africa
Kenya 	580367.00	569140.00	99246	52573973	Africa
Yemen 	527968.00	527968.00	29079	29161922	Asia
Thailand 	513120.00	510890.00	516662	69625582	Asia
Spain 	505992.00	498980.00	1429140	46736776	Europe
Turkmenistan 	488100.00	469930.00	50346	5942089	Asia
Cameroon 	475442.00	472710.00	39219	25876380	Africa
Papua New Guinea 	462840.00	452860.00	21453	8776109	Oceania
Sweden 	450295.00	410335.00	547123	10036379	Europe
Uzbekistan 	447400.00	425400.00	49199	32981716	Asia
Morocco 	446550.00	446300.00	121350	36471769	Africa
Iraq 	438317.00	437367.00	225257	39309783	Asia
Paraguay 	406752.00	397302.00	42352	7044636	South America
Zimbabwe 	390757.00	386847.00	22290	16150362	Africa
Japan 	377973.00	364543.00	5176205	126860301	Asia
Germany 	357114.00	348672.00	3963880	83517045	Europe
Republic of the Congo 	342000.00	341500.00	11162	5380508	Africa
Finland 	338424.00	303815.00	276572	5532156	Europe
Vietnam 	331212.00	310070.00	260301	96462106	Asia
Malaysia 	330803.00	329613.00	373447	31949777	Asia
Norway 	323802.00	304282.00	427041	5378857	Europe
Ivory Coast 	322463.00	318003.00	45252	25716544	Africa
Poland 	312696.00	311888.00	593295	37887768	Europe
Oman 	309500.00	309500.00	79458	4974986	Asia
Italy 	301339.00	294140.00	2025866	60550075	Europe
Philippines 	300000.00	298170.00	356682	108116615	Asia
Ecuador 	276841.00	256369.00	106289	17373662	South America
Burkina Faso 	274222.00	273602.00	14882	20321378	Africa
New Zealand 	270467.00	262443.00	210475	4783063	Oceania
Gabon 	267668.00	257667.00	16709	2172579	Africa
Guinea 	245857.00	245717.00	12623	12771246	Africa
United Kingdom 	242495.00	241930.00	2829163	67530172	Europe
Uganda 	241550.00	197100.00	30368	44269594	Africa
Ghana 	238533.00	227533.00	68258	30417856	Africa
Romania 	238397.00	231291.00	244158	19364557	Europe
Laos 	236800.00	230800.00	20153	7169455	Asia
Guyana 	214969.00	196849.00	3830	782766	South America
Belarus 	207600.00	202900.00	60951	9452411	Europe
Kyrgyzstan 	199951.00	191801.00	8334	6415850	Asia
Senegal 	196722.00	192530.00	25320	16296364	Africa
Syria 	185180.00	183630.00	60043	17070135	Asia
Cambodia 	181035.00	176515.00	26979	16486542	Asia
Uruguay 	176215.00	175015.00	60231	3461734	South America
Suriname 	163820.00	156000.00	3683	581372	South America
Tunisia 	163610.00	155360.00	36204	11694719	Africa
Bangladesh 	147570.00	130168.00	314656	163046161	Asia
Nepal 	147181.00	143351.00	28922	28608710	Asia
Tajikistan 	143100.00	141510.00	7698	9321018	Asia
Greece 	131957.00	130647.00	219097	10473455	Europe
Nicaragua 	130373.00	119990.00	12612	6545502	North America
North Korea 	120540.00	120538.00	12884	25666161	Asia
Malawi 	118484.00	94080.00	7436	18628747	Africa
Eritrea 	117600.00	101000.00	7718	3497117	Africa
Benin 	114763.00	114305.00	11184	11801151	Africa
Honduras 	112492.00	111890.00	24651	9746117	North America
Liberia 	111369.00	96320.00	3221	4937374	Africa
Bulgaria 	111002.00	108612.00	67044	7000119	Europe
Cuba 	109884.00	109820.00	96851	11333483	North America
Guatemala 	108889.00	107159.00	82335	17581472	North America
Iceland 	103000.00	100250.00	24544	339031	Europe
South Korea 	100210.00	99909.00	1656674	51225308	Asia
Hungary 	93028.00	89608.00	168778	9684679	Europe
Portugal 	92090.00	91470.00	239473	10226187	Europe
Jordan 	89342.00	88802.00	44256	10101694	Asia
Serbia 	88361.00	88246.00	52424	8772235	Europe
Azerbaijan 	86600.00	86100.00	45248	10047718	Europe
Austria 	83871.00	82445.00	457637	8955102	Europe
United Arab Emirates 	83600.00	83600.00	427876	9770529	Asia
Czech Republic 	78865.00	77247.00	246161	10689209	Europe
Panama 	75417.00	74340.00	70155	4246439	North America
Sierra Leone 	71740.00	71620.00	3998	7813215	Africa
Ireland 	70273.00	68883.00	381571	4882495	Europe
Georgia 	69700.00	69700.00	17214	3996765	Europe
Sri Lanka 	65610.00	62732.00	84164	21323733	Asia
Lithuania 	65300.00	62680.00	54240	2759627	Europe
Latvia 	64559.00	62249.00	35721	1906743	Europe
Togo 	56785.00	54385.00	5592	8082366	Africa
Croatia 	56594.00	55974.00	61252	4130304	Europe
Bosnia and Herzegovina 	51209.00	51187.00	20152	3301000	Europe
Costa Rica 	51100.00	51060.00	60459	5047561	North America
Slovakia 	49037.00	48105.00	109863	5457013	Europe
Dominican Republic 	48671.00	48320.00	84837	10738958	North America
Estonia 	45227.00	42388.00	31026	1325648	Europe
Denmark 	43094.00	42434.00	349524	5771876	Europe
Netherlands 	41850.00	33893.00	914003	17097130	Europe
Switzerland 	41284.00	39997.00	742000	8591365	Europe
Bhutan	38394.00	38394.00	2811	763092	Asia
Guinea-Bissau 	36125.00	28120.00	1458	1920922	Africa
Moldova 	33846.00	32891.00	12037	4043263	Europe
Belgium 	30528.00	30278.00	531813	11539328	Europe
Lesotho 	30355.00	30355.00	2392	2125268	Africa
Armenia 	29743.00	28342.00	13105	2957731	Europe
Solomon Islands 	28896.00	27986.00	1511	669823	Oceania
Albania 	28748.00	27398.00	15960	2880917	Europe
Equatorial Guinea 	28051.00	28051.00	12432	1355986	Africa
Burundi 	27834.00	25680.00	3573	11530580	Africa
Haiti 	27750.00	27560.00	9602	11263077	North America
Rwanda 	26338.00	24668.00	10211	12626950	Africa
North Macedonia 	25713.00	25433.00	12884	2083459	Europe
Djibouti 	23200.00	23180.00	2285	973560	Africa
Belize 	22966.00	22806.00	1971	390353	North America
El Salvador 	21041.00	20721.00	26989	6453553	North America
Israel 	20770.00	20330.00	381569	8519377	Asia
Slovenia 	20273.00	20151.00	55088	2078654	Europe
Fiji 	18272.00	18274.00	5324	889953	Oceania
Kuwait 	17818.00	17818.00	136940	4207083	Asia
Eswatini 	17364.00	17204.00	7718	1148130	Africa
East Timor 	14919.00	14919.00	3145	1293119	Asia
The Bahamas 	13943.00	10010.00	13262	389482	North America
Montenegro 	13812.00	13452.00	5443	627987	Europe
Vanuatu 	12189.00	12189.00	942	299882	Oceania
Qatar 	11586.00	11586.00	193502	2832067	Asia
The Gambia 	11295.00	10000.00	1717	2347706	Africa
Jamaica 	10991.00	10831.00	16152	2948279	North America
Lebanon	10452.00	10230.00	58281	6855713	Asia
Cyprus 	9251.00	9241.00	24638	1198575	Europe
Brunei 	5765.00	5265.00	13325	433285	Asia
Trinidad and Tobago 	5130.00	5128.00	22438	1394973	North America
Cape Verde 	4033.00	4033.00	1997	549935	Africa
Samoa 	2842.00	2821.00	902	197097	Oceania
Luxembourg 	2586.00	2586.00	69634	615729	Europe
Mauritius 	2040.00	2030.00	14812	1269668	Africa
Comoros 	1862.00	1862.00	726	850886	Africa
Sao Tome & Principe	964.00	964.00	477	215056	Africa
Kiribati 	811.00	811.00	187	117606	Oceania
Bahrain 	778.00	778.00	38952	1641172	Asia
Dominica 	751.00	751.00	542	71808	North America
Tonga 	747.00	717.00	493	104494	Oceania
Singapore 	716.00	687.00	372807	5804337	Asia
Federated States of Micronesia 	702.00	702.00	383	113815	Oceania
Saint Lucia 	616.00	606.00	1741	182790	North America
Andorra 	468.00	468.00	3237	77142	Europe
Palau 	459.00	459.00	310	18008	Oceania
Seychelles 	452.00	455.00	1620	97739	Africa
Antigua and Barbuda 	442.00	442.60	1654	97118	North America
Barbados 	430.00	431.00	5207	287025	North America
Saint Vincent and the Grenadines 	389.00	389.00	864	110589	North America
Grenada 	344.00	344.00	1272	112003	North America
Malta 	316.00	316.00	15134	440372	Europe
Maldives 	300.00	298.00	5749	530953	Asia
Saint Kitts and Nevis 	261.00	261.00	1058	52823	North America
Marshall Islands 	181.00	181.00	220	58791	Oceania
Liechtenstein 	160.00	160.00	6295	38019	Europe
San Marino 	61.00	61.00	1538	33860	Europe
Tuvalu 	26.00	26.00	49	11646	Oceania
Nauru 	21.00	21.00	182	10756	Oceania
Monaco 	2.02	2.02	6400	38964	Europe
Vatican City 	0.44	0.44	76458	799	Europe
